Name		Guthling	: {	1	:{
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	U TURN	?.		
33	: ?	PLAY ROUGH	?.		
38	: ?	DOUBLE TEAM	?.		
43	: ?	U TURN	?.		
47	: ?	SUPERPOWER	?.		
51	: ?	DOUBLE EDGE	?.		}.}.
Name		Dashing_Kebbit	: {	366	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	QUICK ATTACK	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	U TURN	?.		
36	: ?	PLAY ROUGH	?.		
41	: ?	REVENGE	?.		
46	: ?	DOUBLE TEAM	?.		
50	: ?	SUPERPOWER	?.		
54	: ?	EXTREMESPEED	?.		
57	: ?	DOUBLE EDGE	?.		}.}.
Name		Wild_Kebbit	: {	367	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	SPIKE CANNON	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	SMART STRIKE	?.		
32	: ?	PLAY ROUGH	?.		
36	: ?	SPIKES	?.		
41	: ?	IRON HEAD	?.		
44	: ?	DOUBLE EDGE	?.		}.}.
Name		Prickly_Kebbit	: {	368	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	SPIKE CANNON	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	SMART STRIKE	?.		
33	: ?	PLAY ROUGH	?.		
38	: ?	SPIKES	?.		
43	: ?	FEINT	?.		
47	: ?	IRON HEAD	?.		
51	: ?	DOUBLE EDGE	?.		}.}.
Name		Razor_Kebbit	: {	369	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	SPIKE CANNON	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	SMART STRIKE	?.		
36	: ?	PLAY ROUGH	?.		
41	: ?	SPIKES	?.		
46	: ?	FEINT	?.		
50	: ?	IRON DEFENSE	?.		
54	: ?	IRON HEAD	?.		
57	: ?	DOUBLE EDGE	?.		}.}.
Name		Big_Kebbit	: {	370	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	HEADBUTT	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	POISON FANG	?.		
36	: ?	PLAY ROUGH	?.		
41	: ?	REVENGE	?.		
46	: ?	RETURN	?.		
50	: ?	WORK UP	?.		
54	: ?	FRUSTRATION	?.		
57	: ?	DOUBLE EDGE	?.		}.}.
Name		Desert_Devil	: {	371	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
5	: ?	GROWL	?.		
7	: ?	BITE	?.		
11	: ?	HEADBUTT	?.		
15	: ?	AGILITY	?.		
19	: ?	TAKE DOWN	?.		
24	: ?	WORK UP	?.		
30	: ?	DOUBLE EDGE	?.		
33	: ?	CRUNCH	?.		
37	: ?	SANDSTORM	?.		}.}.
Name		Feldip_Weasel	: {	372	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	HEADBUTT	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	U TURN	?.		
32	: ?	PLAY ROUGH	?.		
36	: ?	WORK UP	?.		
41	: ?	DOUBLE EDGE	?.		
44	: ?	CRUNCH	?.		}.}.
Name		Barbed_Kebbit	: {	373	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	HEADBUTT	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	U TURN	?.		
33	: ?	PLAY ROUGH	?.		
38	: ?	POISONPOWDER	?.		
43	: ?	SMART STRIKE	?.		
47	: ?	DOUBLE EDGE	?.		
51	: ?	CRUNCH	?.		}.}.
Name		Diseased_Kebbit	: {	374	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	GROWL	?.		
9	: ?	BITE	?.		
13	: ?	INFESTATION	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	U TURN	?.		
36	: ?	PLAY ROUGH	?.		
41	: ?	SLUDGE BOMB	?.		
46	: ?	WORK UP	?.		
50	: ?	POISON JAB	?.		
54	: ?	DOUBLE EDGE	?.		
57	: ?	POISON FANG	?.		}.}.
Name		Chocolate_Kebbit	: {	375	:{
1	: ?	TACKLE	?.		
1	: ?	SWEET SCENT	?.		
6	: ?	PLAY NICE	?.		
9	: ?	BITE	?.		
13	: ?	HEADBUTT	?.		
17	: ?	AGILITY	?.		
22	: ?	TAKE DOWN	?.		
27	: ?	U TURN	?.		
36	: ?	PLAY ROUGH	?.		
41	: ?	SLUDGE BOMB	?.		
46	: ?	SWEET SCENT	?.		
50	: ?	DRAINING KISS	?.		
54	: ?	DOUBLE EDGE	?.		
57	: ?	HEAT WAVE	?.		}.}.
Name		Monkey	: {	376	:{
1	: ?	POUND	?.		
5	: ?	GROWL	?.		
9	: ?	KARATE CHOP	?.		
11	: ?	HEADBUTT	?.		
13	: ?	HOWL	?.		
17	: ?	AGILITY	?.		
21	: ?	VITAL THROW	?.		
25	: ?	BATON PASS	?.		
29	: ?	POWERUP PUNCH	?.		
33	: ?	BULK UP	?.		
37	: ?	ROCK CLIMB	?.		
41	: ?	BULLET SEED	?.		
45	: ?	SUPERPOWER	?.		}.}.
Name		Ninja_Monkey	: {	377	:{
1	: ?	SHADOW SNEAK	?.		
1	: ?	POUND	?.		
5	: ?	MINIMIZE	?.		
9	: ?	KARATE CHOP	?.		
13	: ?	HEADBUTT	?.		
18	: ?	MAT BLOCK	?.		
23	: ?	AGILITY	?.		
28	: ?	VITAL THROW	?.		
33	: ?	BATON PASS	?.		
38	: ?	SLASH	?.		
43	: ?	SPIKES	?.		
48	: ?	ROCK CLIMB	?.		
53	: ?	WATER SHURIKEN	?.		
56	: ?	CLOSE COMBAT	?.		}.}.
Name		Zombie_Monkey	: {	378	:{
1	: ?	BONE RUSH	?.		
1	: ?	POUND	?.		
5	: ?	GROWL	?.		
9	: ?	KARATE CHOP	?.		
13	: ?	HEADBUTT	?.		
18	: ?	HOWL	?.		
23	: ?	AMNESIA	?.		
28	: ?	VITAL THROW	?.		
33	: ?	MEMENTO	?.		
38	: ?	POWERUP PUNCH	?.		
43	: ?	BULK UP	?.		
48	: ?	SHADOW PUNCH	?.		
53	: ?	GRUDGE	?.		
56	: ?	SUPERPOWER	?.		}.}.
Name		Gorilla_Normal_Form	: {	379*	:{
1	: ?	GIGA IMPACT	?.		
1	: ?	POUND	?.		
5	: ?	GROWL	?.		
9	: ?	KARATE CHOP	?.		
13	: ?	HEADBUTT	?.		
18	: ?	HOWL	?.		
23	: ?	PROTECT	?.		
28	: ?	VITAL THROW	?.		
33	: ?	ROAR	?.		
38	: ?	POWERUP PUNCH	?.		
43	: ?	BULK UP	?.		
48	: ?	ROCK CLIMB	?.		
53	: ?	BULLET SEED	?.		
56	: ?	SUPERPOWER	?.		}.}.
Name		Gorilla_Ancient_Form	: {	379*	:{
1	: ?	CONFUSION	?.		
1	: ?	POUND	?.		
5	: ?	GROWL	?.		
9	: ?	KARATE CHOP	?.		
13	: ?	ZEN HEADBUTT	?.		
18	: ?	CONFIDE	?.		
23	: ?	AMNESIA	?.		
28	: ?	VITAL THROW	?.		
33	: ?	ROAR	?.		
38	: ?	POWERUP PUNCH	?.		
43	: ?	BULK UP	?.		
48	: ?	ROCK CLIMB	?.		
53	: ?	PSYCHIC	?.		
56	: ?	SUPERPOWER	?.		}.}.
Name		Larupia	: {	380	:{
1	: ?	SCRATCH	?.		
1	: ?	GROWL	?.		
5	: ?	TAIL WHIP	?.		
8	: ?	FURY SWIPES	?.		
12	: ?	BITE	?.		
15	: ?	HONE CLAWS	?.		
19	: ?	PUNISHMENT	?.		
22	: ?	AGILITY	?.		
26	: ?	SHADOW SNEAK	?.		
29	: ?	CAMOUFLAGE	?.		
33	: ?	CRUNCH	?.		
36	: ?	ASSIST	?.		
40	: ?	BATON PASS	?.		
43	: ?	NIGHT SLASH	?.		
47	: ?	DOUBLE TEAM	?.		
50	: ?	SUCKER PUNCH	?.		}.}.
Name		Spirit_Larupia	: {	381	:{
1	: ?	PLAY ROUGH	?.		
1	: ?	GROWL	?.		
5	: ?	TELEPORT	?.		
8	: ?	FURY SWIPES	?.		
12	: ?	BITE	?.		
15	: ?	HONE CLAWS	?.		
19	: ?	PUNISHMENT	?.		
22	: ?	AGILITY	?.		
26	: ?	SHADOW SNEAK	?.		
29	: ?	NASTY PLOT	?.		
34	: ?	CRUNCH	?.		
38	: ?	ASSIST	?.		
40	: ?	BATON PASS	?.		
43	: ?	PLAY ROUGH	?.		
47	: ?	DOUBLE TEAM	?.		
50	: ?	NIGHT SLASH	?.		}.}.
Name		Kyatt	: {	382	:{
1	: ?	SCRATCH	?.		
1	: ?	CAMOUFLAGE	?.		
5	: ?	POWDER SNOW	?.		
8	: ?	FURY SWIPES	?.		
12	: ?	HAIL	?.		
15	: ?	BITE	?.		
19	: ?	ICY WIND	?.		
22	: ?	ROAR	?.		
26	: ?	CRUNCH	?.		
29	: ?	ICE FANG	?.		
33	: ?	SUCKER PUNCH	?.		
36	: ?	AGILITY	?.		
40	: ?	ICICLE CRASH	?.		
43	: ?	HONE CLAWS	?.		
47	: ?	AURORA VEIL	?.		
50	: ?	FREEZE SHOCK	?.		}.}.
Name		Spirit_Kyatt	: {	383	:{
1	: ?	PLAY ROUGH	?.		
1	: ?	TELEPORT	?.		
5	: ?	POWDER SNOW	?.		
8	: ?	FURY SWIPES	?.		
12	: ?	HAIL	?.		
15	: ?	BITE	?.		
19	: ?	FAIRY WIND	?.		
22	: ?	ROAR	?.		
26	: ?	CRUNCH	?.		
29	: ?	ICE FANG	?.		
33	: ?	PLAY ROUGH	?.		
36	: ?	AGILITY	?.		
40	: ?	ICICLE CRASH	?.		
43	: ?	PSYCHIC FANGS	?.		
47	: ?	AURORA VEIL	?.		
50	: ?	FREEZE SHOCK	?.		}.}.
		Crablet	: {	384	:{
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
4	: ?	CAMOUFLAGE	?.		
9	: ?	BUBBLEBEAM	?.		
13	: ?	SHARPEN	?.		
17	: ?	RAZOR SHELL	?.		
24	: ?	IRON DEFENSE	?.		
30	: ?	CRABHAMMER	?.		}.}.
Name		Rock_Crab	: {	385	:{
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
4	: ?	ROCK THROW	?.		
9	: ?	BUBBLEBEAM	?.		
13	: ?	SHARPEN	?.		
17	: ?	RAZOR SHELL	?.		
24	: ?	IRON DEFENSE	?.		
32	: ?	ROCK SLIDE	?.		
38	: ?	CRABHAMMER	?.		}.}.
Name		Giant_Rock_Crab	: {	386	:{
1	: ?	ANCIENTPOWER	?.		
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
1	: ?	ROCK THROW	?.		
5	: ?	BUBBLEBEAM	?.		
9	: ?	SHARPEN	?.		
15	: ?	RAZOR SHELL	?.		
19	: ?	IRON DEFENSE	?.		
23	: ?	ROCK SLIDE	?.		
27	: ?	CAMOUFLAGE	?.		
35	: ?	CRABHAMMER	?.		
41	: ?	STONE EDGE	?.		
45	: ?	HYDRO PUMP	?.		
50	: ?	SWORDS DANCE	?.		
54	: ?	ROCK WRECKER	?.		}.}.
Name		Ammonite_Crab	: {	387	:{
1	: ?	LIQUIDATION	?.		
1	: ?	ANCIENTPOWER	?.		
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
5	: ?	ROCK THROW	?.		
9	: ?	BUBBLEBEAM	?.		
16	: ?	SHARPEN	?.		
21	: ?	RAZOR SHELL	?.		
25	: ?	IRON DEFENSE	?.		
30	: ?	ROCK SLIDE	?.		
38	: ?	CAMOUFLAGE	?.		
43	: ?	CRABHAMMER	?.		
47	: ?	STONE EDGE	?.		
52	: ?	HYDRO PUMP	?.		
56	: ?	SWORDS DANCE	?.		
59	: ?	ROCK WRECKER	?.		}.}.
Name		Rock_Lobster	: {	388	:{
1	: ?	ROCK POLISH	?.		
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
5	: ?	ROCK THROW	?.		
9	: ?	BUBBLEBEAM	?.		
15	: ?	SHARPEN	?.		
19	: ?	RAZOR SHELL	?.		
23	: ?	IRON DEFENSE	?.		
27	: ?	ROCK SLIDE	?.		
35	: ?	CAMOUFLAGE	?.		
41	: ?	CRABHAMMER	?.		
45	: ?	STONE EDGE	?.		
50	: ?	HYDRO PUMP	?.		
54	: ?	X SCISSOR	?.		}.}.
Name		Sand_Crab	: {	389	:{
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
4	: ?	SAND ATTACK	?.		
9	: ?	BUBBLEBEAM	?.		
13	: ?	SHARPEN	?.		
17	: ?	RAZOR SHELL	?.		
24	: ?	IRON DEFENSE	?.		
32	: ?	SAND TOMB	?.		
38	: ?	CRABHAMMER	?.		}.}.
Name		Swamp_Crab	: {	390	:{
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
4	: ?	LEAFAGE	?.		
9	: ?	BUBBLEBEAM	?.		
13	: ?	SHARPEN	?.		
17	: ?	RAZOR SHELL	?.		
24	: ?	IRON DEFENSE	?.		
32	: ?	MUDDY WATER	?.		
38	: ?	CRABHAMMER	?.		}.}.
Name		Granite_Crab	: {	391	:{
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
4	: ?	ROCK THROW	?.		
9	: ?	BUBBLEBEAM	?.		
15	: ?	SHARPEN	?.		
19	: ?	RAZOR SHELL	?.		
22	: ?	IRON DEFENSE	?.		
25	: ?	ROCK SLIDE	?.		
34	: ?	CAMOUFLAGE	?.		
40	: ?	CRABHAMMER	?.		
43	: ?	STONE EDGE	?.		
48	: ?	HYDRO PUMP	?.		}.}.
Name		Granite_Lobster	: {	392	:{
1	: ?	TELEPORT	?.		
1	: ?	ROCK POLISH	?.		
1	: ?	BUBBLE	?.		
1	: ?	HARDEN	?.		
5	: ?	ROCK THROW	?.		
9	: ?	BUBBLEBEAM	?.		
16	: ?	SHARPEN	?.		
21	: ?	RAZOR SHELL	?.		
25	: ?	IRON DEFENSE	?.		
30	: ?	ROCK SLIDE	?.		
38	: ?	CAMOUFLAGE	?.		
43	: ?	CRABHAMMER	?.		
47	: ?	STONE EDGE	?.		
52	: ?	SWORDS DANCE	?.		
56	: ?	X SCISSOR	?.		
59	: ?	HYDRO PUMP	?.		}.}.
Name		Rabbit	: {	393	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
4	: ?	PLAY NICE	?.		
7	: ?	MUD SPORT	?.		
10	: ?	DISARMING VOICE	?.		
13	: ?	RETURN	?.		
16	: ?	DRAINING KISS	?.		
19	: ?	AGILITY	?.		
22	: ?	MOONLIGHT	?.		
25	: ?	DAZZLING GLEAM	?.		
28	: ?	BOUNCE	?.		
31	: ?	DIG	?.		
34	: ?	MOONBLAST	?.		}.}.
Name		Wolpertinger	: {	394	:{
1	: ?	MEGAHORN	?.		
1	: ?	PLAY ROUGH	?.		
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
4	: ?	PLAY NICE	?.		
7	: ?	MUD SPORT	?.		
10	: ?	DISARMING VOICE	?.		
13	: ?	RETURN	?.		
16	: ?	DRAINING KISS	?.		
19	: ?	AGILITY	?.		
24	: ?	MOONLIGHT	?.		
29	: ?	BOUNCE	?.		
34	: ?	DAZZLING GLEAM	?.		
39	: ?	FLY	?.		
44	: ?	MOONBLAST	?.		}.}.
Name		Bunyip	: {	395	:{
1	: ?	WATER GUN	?.		
1	: ?	MUD SLAP	?.		
5	: ?	CAMOUFLAGE	?.		
8	: ?	ABSORB	?.		
12	: ?	BIDE	?.		
15	: ?	WATER PULSE	?.		
19	: ?	MUD BOMB	?.		
22	: ?	RECOVER	?.		
26	: ?	MUDDY WATER	?.		
31	: ?	STOCKPILE	?.		
31	: ?	SWALLOW	?.		
36	: ?	SHORE UP	?.		
40	: ?	BRINE	?.		
43	: ?	AQUA RING	?.		
47	: ?	EARTH POWER	?.		
50	: ?	HYDRO PUMP	?.		}.}.
Name		Talon_Beast_Talon_Form	: {	396*	:{
1	: ?	ZEN HEADBUTT	?.		
1	: ?	GROWL	?.		
5	: ?	TAIL WHIP	?.		
8	: ?	FURY SWIPES	?.		
12	: ?	BITE	?.		
15	: ?	HONE CLAWS	?.		
19	: ?	PUNISHMENT	?.		
22	: ?	AGILITY	?.		
26	: ?	SHADOW SNEAK	?.		
29	: ?	CAMOUFLAGE	?.		
33	: ?	ROCK SLIDE	?.		
36	: ?	ASSIST	?.		
40	: ?	BATON PASS	?.		
43	: ?	PSYCHO CUT	?.		
47	: ?	DOUBLE TEAM	?.		
50	: ?	STONE EDGE	?.		}.}.
Name		Talon_Beast_Nail_Form	: {	396*	:{
1	: ?	SHADOW SNEAK	?.		
1	: ?	GROWL	?.		
5	: ?	TAIL WHIP	?.		
8	: ?	FURY SWIPES	?.		
12	: ?	BITE	?.		
15	: ?	HONE CLAWS	?.		
19	: ?	PUNISHMENT	?.		
22	: ?	AGILITY	?.		
26	: ?	SHADOW SNEAK	?.		
29	: ?	CAMOUFLAGE	?.		
33	: ?	ROCK SLIDE	?.		
36	: ?	ASSIST	?.		
40	: ?	BATON PASS	?.		
43	: ?	NIGHT SLASH	?.		
47	: ?	DOUBLE TEAM	?.		
50	: ?	STONE EDGE	?.		}.}.
Name		Ferret	: {	397	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
4	: ?	COVET	?.		
7	: ?	MUD SPORT	?.		
10	: ?	DISARMING VOICE	?.		
13	: ?	FRUSTRATION	?.		
16	: ?	THIEF	?.		
19	: ?	COIL	?.		
22	: ?	TAKE DOWN	?.		
25	: ?	NASTY PLOT	?.		
28	: ?	RETURN	?.		
31	: ?	CRUNCH	?.		
34	: ?	DOUBLE EDGE	?.		}.}.
Name		Toy_Mouse	: {	398	:{
1	: ?	SPLASH	?.		
6	: ?	TACKLE	?.		
10	: ?	TAIL WHIP	?.		
13	: ?	THUNDER WAVE	?.		
18	: ?	SHIFT GEAR	?.		
25	: ?	GEAR GRIND	?.		
32	: ?	CHARGE BEAM	?.		
40	: ?	IRON HEAD	?.		}.}.
Name		Toy_Doll	: {	399	:{
1	: ?	TACKLE	?.		
1	: ?	INSTRUCT	?.		
4	: ?	TEETER DANCE	?.		
7	: ?	LEER	?.		
10	: ?	RAPID SPIN	?.		
15	: ?	AFTER YOU	?.		
18	: ?	SHIFT GEAR	?.		
21	: ?	GEAR GRIND	?.		
24	: ?	QUIVER DANCE	?.		
29	: ?	AGILITY	?.		
31	: ?	HIGH JUMP KICK	?.		
34	: ?	DRAGON DANCE	?.		
40	: ?	IRON HEAD	?.		}.}.
Name		Toy_Soldier	: {	400	:{
1	: ?	TACKLE	?.		
1	: ?	INSTRUCT	?.		
4	: ?	TEETER DANCE	?.		
7	: ?	LEER	?.		
10	: ?	THUNDER WAVE	?.		
15	: ?	AFTER YOU	?.		
18	: ?	SHIFT GEAR	?.		
21	: ?	GEAR GRIND	?.		
24	: ?	CHARGE BEAM	?.		
29	: ?	ELECTRIFY	?.		
31	: ?	WILD CHARGE	?.		
34	: ?	FOLLOW ME	?.		
40	: ?	IRON HEAD	?.		}.}.
Name		ClockworkPenguin	: {	401	:{
1	: ?	TACKLE	?.		
1	: ?	ICY WIND	?.		
4	: ?	AQUA JET	?.		
7	: ?	LEER	?.		
10	: ?	THUNDER WAVE	?.		
15	: ?	AFTER YOU	?.		
18	: ?	SHIFT GEAR	?.		
21	: ?	GEAR GRIND	?.		
24	: ?	ICE BEAM	?.		
29	: ?	ELECTRIFY	?.		
31	: ?	WILD CHARGE	?.		
34	: ?	FOLLOW ME	?.		
40	: ?	IRON HEAD	?.		
40	: ?	ICICLE CRASH	?.		}.}.
Name		Clockwork_Cat	: {	402	:{
1	: ?	SHIFT GEAR	?.		
1	: ?	POUND	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	CHARM	?.		
9	: ?	AUTOTOMIZE	?.		
13	: ?	ASSIST	?.		
16	: ?	METAL CLAW	?.		
19	: ?	GEAR GRIND	?.		
21	: ?	NONE	?.		
26	: ?	SLASH	?.		
29	: ?	NASTY PLOT	?.		
33	: ?	IRON TAIL	?.		
37	: ?	METAL SOUND	?.		
41	: ?	RECYCLE	?.		
45	: ?	LOCK ON	?.		
49	: ?	METAL BURST	?.		
53	: ?	ZAP CANNON	?.		}.}.
Name		Magicarpet	: {	403	:{
1	: ?	GUST	?.		
6	: ?	TELEKINESIS	?.		
10	: ?	SAND TOMB	?.		
13	: ?	WHIRLWIND	?.		
18	: ?	FLY	?.		
25	: ?	PSYCHIC	?.		
32	: ?	SKY DROP	?.		
40	: ?	HYPERSPACE HOLE	?.		}.}.
Name		Anichair	: {	404	:{
1	: ?	SPLASH	?.		
6	: ?	LEER	?.		
10	: ?	FOLLOW ME	?.		
13	: ?	TEETER DANCE	?.		
18	: ?	HEX	?.		
25	: ?	ME FIRST	?.		
32	: ?	BLOCK	?.		
40	: ?	WOOD HAMMER	?.		}.}.
Name		Exoraxe	: {	405	:{
1	: ?	SPLASH	?.		
1	: ?	SCRATCH	?.		
4	: ?	SPITE	?.		
7	: ?	METAL CLAW	?.		
10	: ?	WILL O WISP	?.		
15	: ?	SLASH	?.		
18	: ?	HEX	?.		
21	: ?	NIGHT SLASH	?.		
24	: ?	GRUDGE	?.		
29	: ?	SHADOW CLAW	?.		
31	: ?	DOUBLE EDGE	?.		
34	: ?	SWORDS DANCE	?.		
40	: ?	IRON HEAD	?.		}.}.
Name		Spookaxe	: {	406	:{
1	: ?	SPLASH	?.		
1	: ?	POUND	?.		
4	: ?	SPITE	?.		
7	: ?	METAL CLAW	?.		
10	: ?	MUD SLAP	?.		
15	: ?	SLASH	?.		
18	: ?	HEX	?.		
21	: ?	DIG	?.		
24	: ?	GRUDGE	?.		
29	: ?	SHADOW CLAW	?.		
31	: ?	DOUBLE EDGE	?.		
34	: ?	ROCK SLIDE	?.		
40	: ?	IRON HEAD	?.		}.}.
Name		Dobbin	: {	407	:{
1	: ?	QUICK ATTACK	?.		
6	: ?	TAIL WHIP	?.		
10	: ?	CHARM	?.		
13	: ?	PURSUIT	?.		
18	: ?	AGILITY	?.		
25	: ?	STOMP	?.		
32	: ?	MEMENTO	?.		
40	: ?	HIGH HORSEPOWER	?.		}.}.
Name		Marionette	: {	408	:{
1	: ?	CLOSE COMBAT	?.		
1	: ?	SPIRIT SHACKLE	?.		
1	: ?	POUND	?.		
1	: ?	RAGE	?.		
5	: ?	STRING SHOT	?.		
10	: ?	POWERUP PUNCH	?.		
15	: ?	RAPID SPIN	?.		
20	: ?	HEX	?.		
25	: ?	VITAL THROW	?.		
30	: ?	SPITE	?.		
34	: ?	FEINT	?.		
38	: ?	FOCUS PUNCH	?.		
42	: ?	GRUDGE	?.		
46	: ?	HIGH JUMP KICK	?.		
51	: ?	WOOD HAMMER	?.		}.}.
Name		Dragon_Kite	: {	409	:{
1	: ?	GUST	?.		
6	: ?	DRAGON DANCE	?.		
10	: ?	WHIRLWIND	?.		
13	: ?	FOLLOW ME	?.		
18	: ?	OMINOUS WIND	?.		
25	: ?	TAILWIND	?.		
32	: ?	ME FIRST	?.		
40	: ?	HEAT WAVE	?.		}.}.
Name		Animour	: {	410	:{
1	: ?	SPLASH	?.		
1	: ?	SCRATCH	?.		
4	: ?	LOCK ON	?.		
7	: ?	METAL CLAW	?.		
10	: ?	WILL O WISP	?.		
15	: ?	SLASH	?.		
18	: ?	HEX	?.		
21	: ?	SMART STRIKE	?.		
24	: ?	GRUDGE	?.		
29	: ?	SHADOW CLAW	?.		
31	: ?	SACRED SWORD	?.		
34	: ?	KINGS SHIELD	?.		
40	: ?	IRON HEAD	?.		}.}.
Name		Dead_Tree	: {	411	:{
1	: ?	ABSORB	?.		
1	: ?	INGRAIN	?.		
5	: ?	SCRATCH	?.		
9	: ?	LEECH SEED	?.		
14	: ?	MEGA DRAIN	?.		
22	: ?	MEAN LOOK	?.		
28	: ?	CRUSH CLAW	?.		
31	: ?	GIGA DRAIN	?.		
35	: ?	STRENGTH SAP	?.		
39	: ?	SHADOW CLAW	?.		
43	: ?	SYNTHESIS	?.		}.}.
Name		Jadinko	: {	412	:{
1	: ?	POUND	?.		
1	: ?	CAMOUFLAGE	?.		
5	: ?	LEER	?.		
9	: ?	DRAGONBREATH	?.		
14	: ?	WORK UP	?.		
22	: ?	DIG	?.		
28	: ?	DRAGON RAGE	?.		
31	: ?	AGILITY	?.		
35	: ?	MEAN LOOK	?.		
39	: ?	DRAGON RUSH	?.		
43	: ?	TAKE DOWN	?.		}.}.
Name		Killerwatt	: {	413	:{
1	: ?	SHOCK WAVE	?.		
1	: ?	FLASH	?.		
6	: ?	NUZZLE	?.		
11	: ?	CHARGE	?.		
14	: ?	HEX	?.		
19	: ?	SPARK	?.		
23	: ?	MAGNET RISE	?.		
28	: ?	DISCHARGE	?.		
32	: ?	ION DELUGE	?.		
35	: ?	CONFUSE RAY	?.		
39	: ?	SIGNAL BEAM	?.		
43	: ?	WILD CHARGE	?.		
47	: ?	ELECTRIFY	?.		
52	: ?	THUNDER	?.		
55	: ?	EERIE IMPULSE	?.		}.}.
Name		Mackers	: {	414	:{
1	: ?	TACKLE	?.		
5	: ?	FEATHERDANCE	?.		
11	: ?	SPITE	?.		
14	: ?	YAWN	?.		
18	: ?	WING ATTACK	?.		
21	: ?	TAKE DOWN	?.		
24	: ?	SLACK OFF	?.		
27	: ?	REST	?.		
31	: ?	SOFTBOILED	?.		
33	: ?	ENDEAVOR	?.		
36	: ?	GRUDGE	?.		
39	: ?	HIGH HORSEPOWER	?.		
42	: ?	SNORE	?.		
45	: ?	CELEBRATE	?.		
48	: ?	DRILL PECK	?.		
51	: ?	ENDURE	?.		
55	: ?	SLEEP TALK	?.		}.}.
Name		Turkey_Female_Form	: {	415*	:{
1	: ?	TACKLE	?.		
5	: ?	MEMENTO	?.		
11	: ?	SPITE	?.		
14	: ?	YAWN	?.		
18	: ?	WING ATTACK	?.		
21	: ?	TAKE DOWN	?.		
24	: ?	SLACK OFF	?.		
27	: ?	REST	?.		
31	: ?	SOFTBOILED	?.		
33	: ?	ENDEAVOR	?.		
36	: ?	GRUDGE	?.		
39	: ?	HIGH HORSEPOWER	?.		
42	: ?	SNORE	?.		
45	: ?	CELEBRATE	?.		
48	: ?	DRILL PECK	?.		
51	: ?	ENDURE	?.		
55	: ?	SLEEP TALK	?.		}.}.
Name		Turkey_Male_Form	: {	415*	:{
1	: ?	TACKLE	?.		
5	: ?	GRUDGE	?.		
11	: ?	SPITE	?.		
14	: ?	YAWN	?.		
18	: ?	WING ATTACK	?.		
21	: ?	TAKE DOWN	?.		
24	: ?	SLACK OFF	?.		
27	: ?	REST	?.		
31	: ?	SOFTBOILED	?.		
33	: ?	ENDEAVOR	?.		
36	: ?	GRUDGE	?.		
39	: ?	HIGH HORSEPOWER	?.		
42	: ?	SNORE	?.		
45	: ?	CELEBRATE	?.		
48	: ?	DRILL PECK	?.		
51	: ?	ENDURE	?.		
55	: ?	SLEEP TALK	?.		}.}.
Name		Turkey_Protestor_Form	: {	415*	:{
1	: ?	TACKLE	?.		
5	: ?	SPITE	?.		
11	: ?	SPITE	?.		
