, , , , , , , BASE STATS, , , , , , , , EXTRA INFORMATION, , , , , , , , , , , , EFFORT VALUES, , , , , , , Unnecessary Information, , , , , 
696, Demon_Ripper_Form, DARK, NORMAL, SNIPER, SKILL_LINK, , 560, 90, 130, 80, 90, 60, 110, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 2, , , , , , , Slayer, 5120, DEMON, Demon, 
697, Demon_Lesser_OSRS_Form, DARK, -, AVERNIC, MOXIE, , 380, 75, 75, 75, 40, 75, 40, , -, -, 90, slow, 50, 140, 70, 20, HUMAN_LIKE, , 0, , 1, 1, , , , , , , Strenght, 5120, DEMON, Demon, 
698, Demon_Greater_OSRS_Form, DARK, -, AVERNIC, MOXIE, , 480, 90, 90, 90, 60, 90, 60, , -, -, 130, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , 1, 1, , , , , , , Prayer, , , Demon, 
699, Demon_Tstanon_Form, DARK, ELECTRIC, AVERNIC, MOXIE, , 560, 110, 110, 110, 60, 110, 60, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , 1, 1, 1, , , , , , Quest, 5120, DEMON, Demon, 
700, Demon_Tormented_Form, DARK, STEEL, FIRE_SHIELD, FLARE_BOOST, , 560, 115, 110, 95, 110, 70, 60, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 2, 1, , , , , , Quest, 5120, DEMON, Demon, 
701, Delrith, DARK, FLYING, AVERNIC, PRESSURE, , 600, 100, 120, 80, 120, 100, 80, , -, -, 200, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 3, , , , , , , Quest, 5120, DEMON, Delrith, 
702, Demon_Lesser_Tongue_Form, DARK, -, AVERNIC, MERCILESS, , 380, 65, 70, 65, 65, 60, 55, , -, -, 90, slow, 50, 140, 70, 20, HUMAN_LIKE, , 0, , , 2, , , , , , , Prayer, 5120, DEMON, Demon, 
703, Demon_Greater_Tongue_Form, DARK, -, AVERNIC, MERCILESS, , 480, 80, 100, 90, 65, 80, 65, , -, -, 130, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , , 2, , , , , , , Prayer, , , Demon, 
704, Demon_Zakln_Form, DARK, ICE, AVERNIC, SKILL_LINK, , 560, 90, 130, 110, 70, 90, 70, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , 1, 2, , , , , , , Dungeoneering, 5120, DEMON, Demon, 
705, Demon_Pummeler_Form, DARK, FLYING, AVERNIC, MERCILESS, , 560, 70, 120, 70, 120, 70, 110, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 2, , 2, , , , , Strength, 5120, DEMON, Demon, 
706, Demon_Chocolate_Form, DARK, FAIRY, AVERNIC, SWEET_VEIL, , 560, 150, 100, 70, 100, 70, 70, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , 3, , , , , , , , Cooking, 5120, DEMON, Demon, 
707, Demon_Lesser_Black_Form, DARK, -, AVERNIC, MERCILESS, , 380, 60, 50, 50, 80, 60, 80, , -, -, 90, slow, 50, 140, 70, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Strenght, 5120, DEMON, Demon, 
708, Demon_Greater_Black_Form, DARK, -, AVERNIC, MERCILESS, , 480, 80, 70, 60, 90, 80, 100, , -, -, 130, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Prayer, 5120, DEMON, Demon, 
709, Demon_Balfrug_Form, DARK, FIRE, AVERNIC, FLASH_FIRE, , 560, 90, 70, 70, 130, 110, 90, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , , , 3, , , , , Magic, 5120, DEMON, Demon, 
710, Demon_Jungle_Form, DARK, GRASS, AVERNIC, POISON_TOUCH, , 560, 90, 115, 80, 115, 60, 100, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Quest, 5120, , Demon, 
711, Demon_Riftsplitter_Form, DARK, PSYCHIC, AVERNIC, PSYCHIC_SURGE, , 560, 80, 120, 100, 70, 70, 120, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 1, , , , 2, , , Dungeoneering, 5120, DEMON, Demon, 
712, Snow_Imp, DARK, -, PRANKSTER, STICKY_HOLD, , 380, 70, 55, 40, 80, 45, 90, , -, -, 90, slow, 50, 140, 70, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Quest, 5120, DEMON, Snow Imp, 
713, Demon_Ice_OSRS_Form, DARK, -, SNOW_WARNING, AVERNIC, , 480, 80, 70, 50, 110, 75, 95, , -, -, 130, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Dungeoneering, , , Ice Demon, 
714, Demon_Ice_RS3_Form, DARK, ICE, SNOW_WARNING, AVERNIC, , 560, 90, 90, 60, 130, 80, 110, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Quest, 5120, DEMON, Ice Demon, 
715, Demon_Bloodchiller_Form, DARK, ICE, ICE_BODY, AVERNIC, , 560, 100, 120, 70, 120, 70, 80, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 2, , 1, , , , , Dungeoneering, 5120, DEMON, Demon, 
716, Demon_Reanimated_Form, DARK, GHOST, CURSED_BODY, AVERNIC, , 560, 70, 70, 70, 100, 140, 110, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , , , , 4, , , , Prayer, 5120, DEMON, Demon, 
717, Kril_Tsutsaroth, DARK, POISON, AVERNIC, POISON_TOUCH, , 560, 100, 150, 70, 80, 70, 90, , -, -, 160, slow, 50, 45, 70, 20, HUMAN_LIKE, , 0, , , 4, , , , , , , Strength, 5120, DEMON, Tsutsaroth, 
718, Pyrefiend, GHOST, FIRE, FLAME_BODY, FLASH_FIRE, , 380, 50, 80, 30, 105, 80, 35, , -, -, 90, slow, Genderless, 170, 0, 20, HUMAN_LIKE, , 0, , , , , 1, , , , , Firemaking, 5120, DEMON, Pyrefiend, FLASH_FIRE
719, Pyrelord, GHOST, FIRE, FLAME_BODY, FLASH_FIRE, , 480, 55, 90, 55, 120, 103, 57, , -, -, 130, slow, Genderless, 65, 0, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Firemaking, 5120, DEMON, Pyrelord, FLASH_FIRE
720, Waterfiend, GHOST, WATER, WATER_VEIL, RAIN_DISH, , 380, 60, 65, 50, 105, 90, 10, , -, -, 90, slow, Genderless, 170, 0, 20, HUMAN_LIKE, , 0, , , , , 1, , , , , Sailing, 5120, DEMON, Waterfiend, RAIN_DISH
721, Waterlord, GHOST, WATER, WATER_VEIL, RAIN_DISH, , 480, 75, 75, 65, 110, 110, 45, , -, -, 130, slow, Genderless, 65, 0, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Sailing, 5120, DEMON, Waterlord, RAIN_DISH
722, Icefiend, GHOST, ICE, ICE_BODY, CLEAR_BODY, , 380, 45, 60, 50, 105, 70, 50, , -, -, 90, slow, Genderless, 170, 0, 20, HUMAN_LIKE, , 0, , , , , 1, , , , , Cooking, 5120, DEMON, Icefiend, CLEAR_BODY
723, Icelord, GHOST, ICE, ICE_BODY, CLEAR_BODY, , 480, 55, 70, 70, 123, 95, 67, , -, -, 130, slow, Genderless, 65, 0, 20, HUMAN_LIKE, , 0, , , , , 2, , , , , Cooking, 5120, DEMON, Icelord, CLEAR_BODY
724, Impling_Baby_Form, FLYING, -, PICKPOCKET, PRANKSTER, , 265, 30, 30, 20, 55, 60, 70, , -, -, 53, slow, 50, 255, 70, 20, HUMAN_LIKE, , 0, , , , , , , 1, , , Hunter, 5120, IMPLING, Impling, 
725, Impling_Magpie_Form, FLYING, -, PICKPOCKET, PRANKSTER, , 385, 55, 55, 55, 60, 60, 100, , -, -, 79, slow, 50, 140, 70, 20, HUMAN_LIKE, , 0, , , , , , , 2, , , Hunter, 5120, IMPLING, Impling, 
726, Impling_Dragon_Form, FLYING, DRAGON, PICKPOCKET, PRANKSTER, , 505, 65, 85, 90, 85, 80, 100, , -, -, 145, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , , , 1, , , 1, , , Hunter, 5120, IMPLING, Impling, 
727, Impling_Kingly_Form, FLYING, FAIRY, PICKPOCKET, PRANKSTER, , 505, 90, 65, 75, 100, 90, 85, , -, -, 145, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , , , , , , 2, , , Hunter, 5120, IMPLING, Impling, 
728, Impling_Lucky_Form, FLYING, -, SUPER_LUCK, PRANKSTER, , 505, 75, 85, 75, 80, 80, 110, , -, -, 145, slow, 50, 90, 70, 20, HUMAN_LIKE, , 0, , , , , , , 2, , , Hunter, 5120, IMPLING, Impling, 
729, Penance_Spawn, POISON, -, PRESSURE, POISON_TOUCH, , 150, 20, 20, 20, 20, 20, 50, , -, -, 35, slow, 50, 255, 0, 20, AMORPHOUS, , 0, , , , , , , 1, , , , , , P. Spawn, 
730, Penance_Healer, POISON, FAIRY, HEALER, POISON_TOUCH, , 485, 140, 70, 70, 70, 100, 35, , -, -, 105, slow, 50, 45, 0, 20, AMORPHOUS, , 0, , , , , , , 2, , , Quest, 5120, , P. Healer, 
731, Penance_Ranger, POISON, FLYING, SKILL_LINK, POISON_TOUCH, , 485, 75, 100, 70, 100, 65, 75, , -, -, 105, slow, 50, 45, 0, 20, AMORPHOUS, , 0, , 2, , , , , , , , Herblore, 5120, , P. Ranger, 
732, Penance_Runner, POISON, -, RUN_AWAY, POISON_TOUCH, , 485, 65, 50, 60, 50, 60, 200, , -, -, 105, slow, 50, 45, 0, 20, AMORPHOUS, , 0, , , 2, , , , , , , Attack, 5120, , P. Runner, 
733, Penance_Fighter, POISON, FIGHTING, PRESSURE, POISON_TOUCH, , 485, 95, 95, 95, 80, 60, 60, , -, -, 105, slow, 50, 45, 0, 20, AMORPHOUS, , 0, , , 1, , 1, , , , , Ranger, 5120, , P. Fighter, 
734, Penance_Queen, POISON, PSYCHIC, POISON_TOUCH, MISTY_SURGE, , 555, 100, 70, 70, 160, 120, 35, , -, -, 160, slow, 50, 45, 0, 20, AMORPHOUS, , 0, , , , , 2, 1, , , , Quest, 5120, , P. Queen, 
735, Penance_King, POISON, DRAGON, POISON_TOUCH, PSYCHIC_SURGE, , 555, 100, 160, 120, 70, 70, 35, , -, -, 160, slow, 50, 45, 0, 20, AMORPHOUS, , 0, , , 2, 1, , , , , , Quest, 5120, , P. King, 
736, Void_Leech, BUG, -, LIQUID_OOZE, UNNERVE, , 150, 50, 20, 20, 20, 20, 20, , -, -, 41, slow, Genderless, 255, 0, 120, BUG, AMORPHOUS, 0, , 1, , , , , , , , Attack, 5120, , Void Leech, 
737, Void_Torcher, BUG, FLYING, LIQUID_OOZE, UNNERVE, , 485, 65, 90, 65, 80, 85, 100, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , , , , , , 2, , , Ranger, 5120, , V. Torcher, 
738, Void_Shifter, BUG, -, LIQUID_OOZE, UNNERVE, , 485, 65, 90, 55, 85, 70, 120, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , , , , , , 2, , , Attack, 5120, , V. Shifter, 
739, Void_Brawler, BUG, FIGHTING, LIQUID_OOZE, FLUFFY, , 485, 120, 90, 85, 55, 70, 65, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , 2, , , , , , , , Attack, 5120, , V. Brawler, 
740, Void_Defiler, BUG, DARK, LIQUID_OOZE, SPEED_BOOST, , 485, 55, 110, 70, 85, 75, 90, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , 2, , , , , , , , Attack, 5120, , V. Defiler, 
741, Void_Splatter, BUG, NORMAL, LIQUID_OOZE, AFTERMATH, , 485, 150, 80, 75, 55, 70, 55, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , , 2, , , , , , , Attack, 5120, , V. Splatter, 
742, Void_Ravager, BUG, GROUND, LIQUID_OOZE, ARENA_TRAP, , 485, 70, 95, 75, 95, 75, 75, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , 1, 1, , , , , , , Attack, 5120, , V. Ravager, 
743, Void_Spinner, BUG, ELECTRIC, LIQUID_OOZE, STATIC, , 485, 70, 75, 80, 95, 120, 45, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , , , , , 2, , , , Attack, 5120, , V. Spinner, 
744, Void_Drone, BUG, -, HEALER, HEALER, , 485, 70, 65, 90, 85, 120, 55, , -, -, 140, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , , , , , 2, , , , Quest, 5120, , Void Drone, 
745, Void_Queen, BUG, DRAGON, AURA_BREAK, AURA_BREAK, , 555, 100, 120, 75, 120, 85, 55, , -, -, 164, slow, Genderless, 45, 0, 120, BUG, AMORPHOUS, 0, , , 2, , 2, , , , , Quest, 5120, , Void Queen, 
746, Anchovy, WATER, -, PRESSURE, PRESSURE, , 270, 30, 50, 30, 50, 50, 60, , -, -, 61, medium fast, 50, 255, 0, 120, WATER_2, , 0, , 1, , , , , , , , Cooking, 3840, , Anchovy, 
747, Anchovy_Pizza_Form, WATER, FIRE, POWER_OF_ALCHEMY, POWER_OF_ALCHEMY, , 520, 100, 100, 60, 100, 60, 100, , -, -, 184, medium fast, 50, 45, 0, 120, WATER_2, , 0, , 2, , , , , , , , Cooking, 3840, , Anchovy, 
748, Red_Eye, WATER, -, WATER_VEIL, UNNERVE, , 200, 50, 30, 30, 30, 30, 30, , -, -, 51, medium fast, 50, 250, 0, 120, WATER_2, , 0, , , , 1, , , , , , Dungeoneering, 3840, , Red_Eye, 
749, Flatfish, WATER, -, WATER_VEIL, UNNERVE, , 310, 80, 55, 75, 30, 35, 35, , -, -, 89, medium fast, 50, 45, 0, 120, WATER_2, , 0, , , , 2, , , , , , Dungeoneering, 3840, , Flatfish, 
750, Bouldabass, WATER, ROCK, WATER_VEIL, SOLID_ROCK, , 495, 100, 85, 200, 30, 40, 40, , -, -, 147, medium fast, 50, 45, 0, 120, WATER_2, , 0, , , , 2, , , , , , Dungeoneering, 3840, , Bouldabass, 
751, Mudskipper, WATER, GROUND, UNAWARE, SWIFT_SWIM, , 465, 70, 55, 85, 40, 75, 140, , -, -, 124, fast, 50, 45, 0, 120, WATER_2, , 0, , , , , , , 3, , , Quest, 5120, , Mudskipper, 
752, Basilisk_Baby_Form, ROCK, DRAGON, PETRIFY, ROCK_HEAD, , 354, 71, 70, 70, 60, 60, 23, , -, -, 85, slow, 12.5, 200, 0, 120, MONSTER, MINERAL, 0, , , , 1, , , , , , Slayer, 30720, SLAYER, Basilisk, 
753, Basilisk_RS3_Form, ROCK, DRAGON, PETRIFY, ROCK_HEAD, , 448, 81, 95, 95, 60, 80, 37, , -, -, 120, slow, 12.5, 45, 0, 120, MONSTER, MINERAL, 0, , , 1, 1, , , , , , Slayer, 30720, SLAYER, Basilisk, 
754, Basilisk_OSRS_Form, ROCK, DRAGON, PETRIFY, INTIMIDATE, , 448, 81, 95, 85, 70, 80, 37, , -, -, 120, slow, 12.5, 45, 0, 120, MONSTER, MINERAL, 0, , , 1, 1, , , , , , Slayer, 30720, SLAYER, Basilisk, 
755, Basilisk_Knight_Form, ROCK, DRAGON, PETRIFY, INTIMIDATE, , 530, 91, 100, 100, 80, 105, 54, , -, -, 146, slow, 12.5, 45, 0, 120, MONSTER, MINERAL, 0, , , 2, 1, , , , , , Quest, 30720, SLAYER, Basilisk, 
756, Spider_Ungael_Form, BUG, -, TINTED_LENS, GOOSEBUMPS, , 355, 65, 55, 45, 80, 45, 65, , -, -, 51, medium fast, 50, 120, 70, 15, BUG, , 0, , , , , 2, , , , , Crafting, 3840, SPIDER, Spider, POISON_POINT
757, Spider_Crypt_Form, BUG, ROCK, TINTED_LENS, GOOSEBUMPS, , 500, 70, 95, 115, 80, 80, 60, , -, -, 120, medium fast, 50, 45, 70, 15, BUG, , 0, , , , 2, , , , , , Herblore, 3840, SPIDER, Spider, POISON_POINT
758, Spider_Temple_Form, BUG, POISON, TINTED_LENS, GOOSEBUMPS, , 500, 80, 95, 70, 115, 80, 60, , -, -, 120, medium fast, 50, 45, 70, 15, BUG, , 0, , , , , 2, , , , , Prayer, 3840, SPIDER, Spider, 
759, Spider_ApeAtoll_Form, BUG, FIGHTING, POISON_TOUCH, GOOSEBUMPS, , 500, 70, 95, 80, 60, 80, 115, , -, -, 120, medium fast, 50, 45, 70, 15, BUG, , 0, , , , , , , 2, , , Agility, 3840, SPIDER, Spider, 
760, Catablepon, GROUND, FAIRY, MUMMY, ANGER_POINT, , 490, 80, 75, 80, 100, 75, 80, , -, -, 150, medium slow, 0, 120, 70, 15, FIELD, , 0, , , 2, , , , , , , Strength, 3840, Cow, Catablepon, 
761, Protomastyx, DRAGON, -, THICK_FAT, RUN_AWAY, , 315, 150, 60, 30, 30, 30, 15, , -, -, 200, medium fast, 50, 200, 70, 15, DRAGON, MONSTER, 0, , 2, , , , , , , , Dungeoneering, 3840, BOVI, Protmastyx, 
762, Tyrannomastyx, DRAGON, -, THICK_FAT, RUN_AWAY, , 505, 255, 60, 55, 60, 55, 20, , -, -, 237, medium fast, 50, 70, 70, 15, DRAGON, MONSTER, 0, , 3, , , , , , , , Dungeoneering, 3840, BOVI, Tyramastyx, 
763, Pig_War_Form, GROUND, STEEL, THICK_FAT, RECKLESS, , 505, 110, 95, 105, 75, 85, 35, , -, -, 150, Medium fast, 50, 120, 70, 20, FIELD, , 0, , 2, 1, , , , , , , Attack, 5120, PIG, Pig, 
764, Pig_Prayer_Form, GROUND, FAIRY, THICK_FAT, AURA_BREAK, , 505, 130, 75, 50, 100, 115, 35, , -, -, 150, Medium fast, 50, 120, 70, 20, FIELD, , 0, , , , , , 3, , , , Prayer, 5120, PIG, Pig, 
765, Pig_Pack_Form, GROUND, POISON, THICK_FAT, PICKUP, , 505, 145, 100, 50, 75, 100, 35, , -, -, 150, Medium fast, 50, 120, 70, 20, FIELD, , 0, , 3, , , , , , , , Summoning, 5120, PIG, Pig, 
766, Herbiboar, GROUND, GRASS, THICK_FAT, LEAF_GUARD, , 505, 130, 75, 50, 100, 105, 45, , -, -, 150, Medium fast, 50, 120, 70, 20, FIELD, , 0, , 3, , , , , , , , Hunter, 5120, PIG, Herbiboar, PICKUP
767, Goat_Clay_Form, GROUND, FAIRY, SOLID_ROCK, ROCK_HEAD, , 255, 45, 40, 55, 30, 30, 55, , -, -, 51, medium slow, Genderless, 180, 70, 20, FIELD, , 0, , , , 1, , , 2, , , Summoning, 5120, SHEEP / GOAT, Clay Goat, 
768, Goat_SacredClay_Form, GROUND, FAIRY, SOLID_ROCK, ROCK_HEAD, , 360, 55, 60, 75, 60, 40, 70, , -, -, 89, medium slow, Genderless, 45, 70, 20, FIELD, , 0, , , , 1, , , 2, , , Summoning, 5120, SHEEP / GOAT, Clay Goat, 
769, Goat_PrimordialClay_Form, GROUND, FAIRY, SOLID_ROCK, ROCK_HEAD, , 500, 80, 110, 70, 70, 70, 100, , -, -, 140, medium slow, Genderless, 45, 70, 20, FIELD, , 0, , , , 1, , , 2, , , Summoning, 5120, SHEEP / GOAT, Clay Goat, 
770, Shadeel, WATER, ELECTRIC, BERSERK, VOLT_ABSORB, , 550, 95, 125, 110, 80, 85, 55, , -, -, 150, fast, 50, 65, 70, 10, WATER_1, , 0, , , , , 2, , , , , Strength, 2560, , Shadeel, VOLT_ABSORB
771, Golem_Titan, GROUND, -, PRISM_ARMOR, SOLID_ROCK, , 395, 70, 80, 80, 65, 65, 35, , -, -, 101, fluctuating, Genderless, 170, 70, 20, HUMAN_LIKE, MINERAL, 0, , , , 2, , , , , , Summoning, 5120, , Golem, 
772, Moss_Titan, GRASS, -, PRISM_ARMOR, CHLOROPHYLL, , 540, 125, 85, 70, 90, 125, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , 1, , , , 2, , , , Summoning, 5120, , Moss Titan, 
773, Iron_Titan, STEEL, -, PRISM_ARMOR, FULL_METAL_BODY, , 540, 70, 90, 125, 85, 125, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , , 2, , 1, , , , Summoning, 5120, , Iron Titan, 
774, Steel_Titan, STEEL, -, PRISM_ARMOR, FULL_METAL_BODY, , 540, 85, 125, 125, 70, 90, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , 1, 2, , , , , , Summoning, 5120, , SteelTitan, 
775, Lava_Titan, FIRE, GROUND, PRISM_ARMOR, MAGMA_ARMOR, , 540, 85, 90, 125, 125, 70, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , , 2, 1, , , , , Summoning, 5120, , Lava Titan, 
776, Obsidian_Golem, FIRE, ROCK, PRISM_ARMOR, MAGMA_ARMOR, , 540, 70, 125, 125, 90, 85, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , 1, 2, , , , , , Summoning, 5120, , Obby Golem, 
777, Swamp_Titan, GRASS, GROUND, PRISM_ARMOR, STENCH, , 540, 125, 90, 125, 85, 70, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , 2, , 1, , , , , , Summoning, 5120, , SwampTitan, 
778, Ice_Titan, ICE, -, PRISM_ARMOR, ICE_BODY, , 540, 90, 85, 70, 125, 125, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , , , 1, 2, , , , Summoning, 5120, , Ice Titan, 
779, Fire_Titan, FIRE, -, PRISM_ARMOR, FLAME_BODY, , 540, 70, 90, 85, 125, 125, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , 1, , , 2, , , , Summoning, 5120, , Fire Titan, 
780, Geysir_Titan, WATER, FIRE, PRISM_ARMOR, WATER_ABSORB, , 540, 125, 85, 70, 125, 90, 45, , -, -, 167, fluctuating, Genderless, 90, 70, 20, HUMAN_LIKE, MINERAL, 0, , , , 2, 1, , , , , Summoning, 5120, , GysirTitan, 
781, Dark_Core, DARK, -, PRESSURE, PRESSURE, , 360, 60, 60, 60, 60, 60, 60, , -, -, 54, slow, 50, 35, 30, 20, MONSTER, , 0, , , 1, , , , , , , Quest, 5120, , Dark Core, 
782, Corporeal_Beast, NORMAL, -, PRESSURE, PRESSURE, , 785, 110, 200, 90, 120, 185, 80, , -, -, 246, slow, 50, 3, 30, 20, MONSTER, , 0, , , 3, , , , , , , Summoning, 5120, , Corp. Beast, 
783, Corporeal_Beast_Zanik_Form, NORMAL, -, UNNERVE, UNNERVE, , 785, 110, 120, 90, 200, 185, 80, , -, -, 246, slow, 50, 3, 30, 20, MONSTER, , 0, , , , , 3, , , , , Quest, 5120, , Zanik, 
784, Compost_Mound, GRASS, GROUND, STENCH, STICKY_HOLD, , 520, 135, 90, 65, 105, 90, 35, , -, -, 101, fluctuating, 50, 90, 70, 20, GRASS, , 0, , 2, , , , , , , , Farming, 5120, , Compost, 
785, Ent, GRASS, FAIRY, LEAF_GUARD, REGENERATOR, , 520, 110, 80, 75, 105, 105, 45, , -, -, 140, fluctuating, 50, 90, 70, 20, GRASS, , 0, , , , , 1, 1, , , , Farming, 5120, , Ent, 
786, Derwen, GRASS, FAIRY, GRASSY_SURGE, REGENERATOR, , 600, 120, 80, 100, 120, 130, 50, , -, -, 240, fluctuating, 50, 90, 70, 20, GRASS, , 0, , , , , 2, 1, , , , Herblore, 5120, , Derwen, 
787, Cockroach_Drone, BUG, -, RUN_AWAY, COMPOUND_EYES, , 260, 40, 40, 40, 40, 40, 60, , -, -, 45, fast, 50, 255, 70, 15, BUG, , 0, , , , , , , 1, , , Defence, 3840, , Cockroach, 
788, Cockroach_Worker, BUG, -, RUN_AWAY, COMPOUND_EYES, , 365, 55, 65, 55, 55, 55, 80, , -, -, 78, fast, 50, 65, 70, 15, BUG, , 0, , , , , , , 1, , , Defence, 3840, , Cockroach, 
789, Cockroach_Soldier, BUG, -, RUN_AWAY, COMPOUND_EYES, , 490, 70, 90, 80, 75, 75, 100, , -, -, 130, fast, 50, 65, 70, 15, BUG, , 0, , , , , , , 2, , , Defence, 3840, , Cockroach, 
790, Cockroach_Warped_Form, BUG, PSYCHIC, RUN_AWAY, COMPOUND_EYES, , 490, 70, 75, 75, 90, 80, 100, , -, -, 130, fast, 50, 65, 70, 15, BUG, , 0, , , , , , , 2, , , Quest, 3840, , Cockroach, 
791, Fiara, BUG, GRASS, GRASSY_SURGE, , , 600, 150, 100, 50, 120, 110, 70, , -, -, 240, fast, 50, 3, 70, 15, BUG, , 0, , , , , 1, 2, , , , Herblore, 3840, , Fiara, 
792, Cave_Bug, BUG, FIGHTING, STRONG_JAW, TRUANT, , 490, 70, 100, 80, 75, 75, 90, , -, -, 130, fast, 50, 65, 70, 15, BUG, , 0, , , , , , , 2, , , Summoning, 3840, , Cave Bug, 
793, Malcolm, BUG, ELECTRIC, ILLUMINATE, COMPOUND_EYES, , 490, 70, 90, 65, 90, 75, 100, , -, -, 130, fast, 50, 65, 70, 15, BUG, , 0, , , , , , , 2, , , Invention, 3840, , Malcolm, 
794, Meerkats, GROUND, -, PICKUP, KEEN_EYE, , 475, 60, 90, 80, 60, 95, 90, , -, -, 86, medium fast, 50, 250, 70, 15, FIELD, , 0, , , , , , , 1, , , Thieving, 3840, , Meerkats, 
795, Origami_Balloon, FLYING, -, LEVITATE, LEVITATE, , 185, 5, 5, 5, 5, 5, 160, , -, -, 10, medium fast, Genderless, 255, 1, 15, MINERAL, , 0, , , , , , , 1, , , Crafting, 3840, , Origami, 
796, Krill_Balloon, FLYING, FIGHTING, LEVITATE, LEVITATE, , 310, 10, 30, 10, 10, 50, 200, , -, -, 20, medium fast, Genderless, 65, 1, 15, MINERAL, , 0, , , , , , , 2, , , Strength, 3840, , Krilloon, 
797, Balloon_Goat, FLYING, -, LEVITATE, LEVITATE, , 310, 10, 10, 10, 50, 50, 180, , -, -, 20, medium fast, Genderless, 65, 1, 15, MINERAL, , 0, , , , , , , 2, , , Quest, 3840, , Balloon, 
798, Dagannoth_Mother, WATER, ROCK, COLOR_CHANGE, , , 495, 75, 105, 85, 85, 70, 75, , -, -, 89, medium slow, 50, 3, 30, 15, WATER_3, MONSTER, 0, , , 2, 1, , , , , , Quest, 3840, , Dagannoth, 
799, Gelatinnoth, WATER, -, PROTEAN, GLUTTONY, , 600, 135, 90, 60, 115, 110, 90, , -, -, 242, Slow, 0, 25, 30, 15, WATER_3, MONSTER, 0, , , , , 1, 2, , , , Cooking, 3840, , Gelatinoth, 
800, Dagannoth_Daughter, WATER, ROCK, PROTEAN, , , 560, 85, 115, 115, 75, 60, 110, , -, -, 242, medium slow, 0, 25, 30, 15, WATER_3, MONSTER, 0, , , 2, 1, , , , , , Quest, 3840, , Dagannoth, 
801, Dagannoth_Reanimated_Form, WATER, GHOST, CURSED_BODY, DRY_SKIN, , 495, 70, 105, 75, 75, 85, 85, , -, -, 89, medium slow, 50, 45, 30, 15, WATER_3, MONSTER, 0, , , 2, , , , 1, , , Prayer, 3840, , Dagannoth, 
802, Dagannoth_Spirit_Form, WATER, FAIRY, INTIMIDATE, DRY_SKIN, , 495, 75, 95, 75, 80, 95, 75, , -, -, 150, medium slow, 50, 45, 30, 15, WATER_3, MONSTER, 0, , , 2, 1, , , , , , Summoning, 3840, , Dagannoth, 
